Cycle#,ChargeOhms,DischargeOhms,MaxV,MinV,MaxOCV,MinOCV,CoulombicEff,EnergyEff,ChargeCapacity(AHrs),DischargeCapacity(AHrs),ChargeEnergy(WHrs),DischargeEnergy(WHrs)
85,0.125302218017,0.117811957951,1.70028,0.985906,1.44996,1.22159,0.990347157781,0.66435972624,1.00978749736,1.00004017798,1.61971430424,1.07607295175
86,0.125302218017,0.11824756231,1.70028,0.985602,1.44996,1.2222,0.990605388939,0.664478490496,1.00951812611,1.00003409595,1.61951606072,1.07613358736
87,0.125302218017,0.118268341573,1.70028,0.982553,1.44996,1.21915,1.00036406814,0.670283748111,0.999684000829,1.00004795393,1.60358715696,1.07485840999
88,0.125302218017,0.118249061658,1.70028,0.979809,1.44996,1.21641,0.997888866951,0.667865382588,1.0021629589,1.00004725955,1.60733666584,1.07348451728
89,0.125757735029,0.118511376013,1.70028,0.97493,1.44905,1.21214,1.00634788604,0.672079232461,0.993711160635,1.00001912584,1.5937622764,1.07113452745
90,0.125629574743,0.118687100868,1.70028,0.973101,1.44935,1.21062,0.999082193528,0.666975003217,1.00093043619,1.00001177576,1.60461435994,1.07023766789
91,0.125802445644,0.118837009424,1.70028,0.971881,1.44905,1.2097,0.999369809465,0.666741387294,1.00065620537,1.0000256013,1.60450856997,1.06979226987
92,0.125912911154,0.119009730767,1.70028,0.969747,1.44874,1.20787,1.00147660287,0.667565776784,0.998577040108,1.00005154183,1.60074922245,1.06860539812
93,0.125912911154,0.119012729463,1.70028,0.973101,1.44874,1.21123,0.992748282813,0.662740503634,1.00730656912,1.00000186676,1.61504682111,1.07035694361
94,0.125779771501,0.11870586295,1.70028,0.974625,1.44905,1.21214,0.992340535612,0.662857614557,1.00775265203,1.00003380648,1.61577750268,1.07103042108
95,0.125779771501,0.118380288024,1.70028,0.974015,1.44905,1.21092,0.997714205041,0.666122445853,1.00232476656,1.00003365766,1.60731227698,1.07066678519
96,0.125779771501,0.118705363167,1.70028,0.972186,1.44905,1.2097,0.998544626382,0.666313012048,1.00147856867,1.00002104318,1.60561749671,1.06984383043
97,0.125934974817,0.1188395079,1.70028,0.970966,1.44874,1.20879,0.999676670714,0.666776571103,1.00034895962,1.00002551751,1.60379370256,1.06937206575
98,0.125802445644,0.119448136637,1.70028,0.967308,1.44905,1.20635,0.999699164643,0.665812383398,1.00031349044,1.00001256078,1.60343317085,1.0675856611
99,0.126590773638,0.119749952529,1.70028,0.963344,1.44752,1.20299,1.00861112759,0.669839122187,0.991776242465,1.00031655423,1.59024964057,1.06521142329
100,0.125957676939,0.119162664241,1.70028,0.973711,1.44874,1.21214,0.981324919322,0.65505130529,1.0190648806,1.00003376174,1.63364122623,1.07011881762
101,0.125779771501,0.118577762671,1.70028,0.977064,1.44905,1.21428,0.988256883096,0.660607617287,1.01197338924,1.00008966742,1.62297429139,1.07214917955
102,0.125779771501,0.119162664241,1.70028,0.972491,1.44905,1.21092,1.00140852804,0.668195374311,0.9987163411,1.00012306107,1.60174495317,1.07027856853
103,0.125757735029,0.11887968568,1.70028,0.97554,1.44905,1.21336,0.993492784429,0.663865048915,1.00662230883,1.00007200047,1.614000803,1.07147872203
104,0.125629574743,0.11874600032,1.70028,0.977979,1.44935,1.21549,0.990484655882,0.662646868695,1.00965147413,1.00004429292,1.61880946704,1.07269902435
105,0.125452388461,0.118401995132,1.70028,0.980113,1.44966,1.21702,0.992470568078,0.664282500023,1.00758670479,1.0000001493,1.61570851084,1.07328688889
106,0.125452388461,0.118420802695,1.70028,0.981638,1.44966,1.21854,0.99092169915,0.663771404823,1.0092088166,1.00004691535,1.61840969881,1.07425407936
107,0.125280269058,0.118268841445,1.70028,0.984382,1.44996,1.22098,0.990420811556,0.664040285097,1.0096839486,1.00001199579,1.61945488679,1.07538328473
108,0.124996871449,0.117964419073,1.70028,0.986821,1.45057,1.22281,0.987627937111,0.663058857239,1.01255165554,1.00002430278,1.6239405579,1.07676817054
109,0.124996871449,0.117966418563,1.70028,0.985297,1.45057,1.22129,0.995008579943,0.667671431737,1.00503699074,1.00002042895,1.61191316483,1.0762283706
110,0.124974975977,0.117963919201,1.70028,0.985602,1.45057,1.22159,0.992938175745,0.666546884786,1.00714920656,1.00003689587,1.61511202155,1.07654788654
111,0.124974975977,0.117966418563,1.70028,0.984687,1.45057,1.22068,0.994222586585,0.667266558702,1.00583528968,1.00002416339,1.61291181857,1.07624211866
112,0.124996871449,0.117679585633,1.70028,0.983772,1.45057,1.21915,0.996031601057,0.668385080422,1.0040216963,1.00003733766,1.60967540329,1.07588302388
113,0.124691524881,0.117640326458,1.70028,0.984687,1.45118,1.22007,0.992043671491,0.666088746013,1.0080385458,1.00001825998,1.61600623454,1.07640356631
114,0.124669682896,0.117661496318,1.70028,0.983467,1.45118,1.21885,0.995945259618,0.6684980081,1.00412227111,1.00005081599,1.60952788633,1.07596618599
