Cycle#,ChargeOhms,DischargeOhms,MaxV,MinV,MaxOCV,MinOCV,CoulombicEff,EnergyEff,ChargeCapacity(AHrs),DischargeCapacity(AHrs),ChargeEnergy(WHrs),DischargeEnergy(WHrs)
47,0.151117624033,0.134358728829,1.57306,1.1787,1.49778,1.24605,0.952376790404,0.823387581944,1.05001233034,1.00000737305,1.51945717242,1.25110216707
48,0.150386950015,0.134977158019,1.57306,1.17839,1.49809,1.24605,0.952373094982,0.823582059261,1.0500128374,1.00000397572,1.51903305185,1.25104836893
49,0.150386950015,0.134262572539,1.57275,1.17809,1.49778,1.24544,0.952373100261,0.823908136238,1.05001112973,1.00000235493,1.51846885072,1.25107884073
50,0.150495327759,0.134262572539,1.57306,1.17748,1.49809,1.24483,0.952375482862,0.824173117387,1.05000649369,1.00000044144,1.51801233018,1.2511049544
51,0.150495327759,0.132543339917,1.57245,1.17809,1.49748,1.24453,0.952386372424,0.824612213634,1.05000319631,1.00000873516,1.51749804622,1.25134742307
52,0.148561524852,0.133257205372,1.57001,1.17778,1.49595,1.24453,0.952385895975,0.825074989403,1.05000303081,1.00000807728,1.51668186561,1.2513762742
53,0.148668587086,0.133760248968,1.57001,1.17687,1.49595,1.24392,0.952389143129,0.825127007438,1.05000056158,1.00000913513,1.51620054719,1.25105802018
54,0.148648513013,0.133141819778,1.57153,1.17657,1.49748,1.24331,0.952382923755,0.825153267309,1.05000944361,1.00001106387,1.51612635189,1.25103661292
55,0.150170662137,0.132543339917,1.57245,1.17626,1.49748,1.2427,0.952377162865,0.825312258855,1.05001303574,1.00000843595,1.51589114646,1.25108354626
56,0.149163313367,0.133237241746,1.57245,1.17596,1.49809,1.2427,0.9523819473,0.825292013166,1.05001208319,1.00001255248,1.51573228837,1.25092175169
57,0.148668587086,0.132019460543,1.57184,1.17596,1.49778,1.24209,0.952381410701,0.82560259544,1.05000351523,1.00000382908,1.51540793503,1.25112472432
58,0.148541465235,0.132543339917,1.57031,1.17565,1.49626,1.24209,0.952383530414,0.825852968443,1.05000927741,1.00001154259,1.51478142029,1.25098673249
59,0.149486266603,0.132428547791,1.57397,1.17413,1.49961,1.24056,0.9523639949,0.825062116924,1.05002437825,1.00000541161,1.51529487144,1.2502123944
60,0.150603861823,0.132523390588,1.57702,1.17474,1.50205,1.24117,0.952384418908,0.82511876826,1.05000536412,1.00000874856,1.51575334636,1.25067653413
61,0.149270809286,0.132543339917,1.57641,1.17443,1.50205,1.24087,0.952381813322,0.825235082366,1.05000820444,1.00000871775,1.515533598,1.25067149358
62,0.150001205313,0.131830496243,1.57702,1.17474,1.50235,1.24087,0.95236774726,0.825355879869,1.05002469971,1.00000965783,1.51553157243,1.25085289444
63,0.148775803743,0.132448482843,1.57428,1.17443,1.50022,1.24087,0.95238484723,0.825694214698,1.05000221806,1.00000620204,1.51478391867,1.25074831816
64,0.1497851615,0.132353761444,1.5758,1.17291,1.50113,1.23935,0.952366988721,0.825216770737,1.05002266769,1.00000692612,1.5147584318,1.25000406154
65,0.152431919903,0.132543339917,1.58128,1.1723,1.5054,1.23874,0.95238390976,0.824497896651,1.0500129302,1.00001541976,1.51565529169,1.24965460005
66,0.153054664963,0.132353761444,1.58525,1.17169,1.50906,1.23813,0.952381453674,0.823962283417,1.05000302957,1.00000341166,1.51642874235,1.24948008918
